project,cliff delta (magnitude): delivery delay: your,cliff delta (magnitude): delivery delay: author,cliff delta (magnitude): delivery delay: result,cliff delta (estimate): delivery delay: your,cliff delta (estimate): delivery delay: author,cliff delta (estimate): delivery delay: result,mww test (p value): delivery delay: your,mww test (p value): delivery delay: author,mww test (p value): delivery delay: result,cliff delta (magnitude): merge time: your,cliff delta (magnitude): merge time: author,cliff delta (magnitude): merge time: result,cliff delta (estimate): merge time: your,cliff delta (estimate): merge time: author,cliff delta (estimate): merge time: result,mww test (p value): merge time: your,mww test (p value): merge time: author,mww test (p value): merge time: result,cliff delta (magnitude): pr lifetime: your,cliff delta (magnitude): pr lifetime: author,cliff delta (magnitude): pr lifetime: result,cliff delta (estimate): pr lifetime: your,cliff delta (estimate): pr lifetime: author,cliff delta (estimate): pr lifetime: result,mww test (p value): pr lifetime: author,mww test (p value): pr lifetime: your,mww test (p value): pr lifetime: result
elastic/logstash,,,missing,-0.241501361,-0.241,close,3e-10,3.32e-10,close,,,missing,-0.2270791313,-0.226,close,3.3e-09,4.26e-09,close,,,missing,-0.2564523078,-0.248,close,missing,0.0,missing
ether/etherpad-lite,,,missing,-0.2601475628,-0.282,different,1e-10,2.16e-12,close,,,missing,0.0063563097,0.011,different,0.8739700742,0.7882753947,different,,,missing,-0.2355607491,-0.253,different,missing,4.2e-09,missing
fchollet/keras,,,missing,-0.1854365813,-0.208,different,0.0052829841,0.0017694365,different,,,missing,0.0861514981,0.083,close,0.1951351879,0.2109997038,different,,,missing,-0.1945939433,-0.223,different,missing,0.0034222729,missing
fog/fog,,,missing,-0.1602364233,-0.168,close,8.24e-08,1.77e-08,different,,,missing,0.2175688233,0.206,different,0.0,5.36e-12,close,,,missing,-0.0916941286,-0.113,different,missing,0.0021531504,missing
frappe/erpnext,,,missing,-0.5873043378,-0.599,close,0.0,5.09e-50,close,,,missing,0.46432594,0.466,close,0.0,4.93e-31,close,,,missing,-0.5588815726,-0.577,close,missing,0.0,missing
getsentry/sentry,,,missing,0.4607732895,0.468,close,0.0,3.26e-17,close,,,missing,0.0648261003,0.075,different,0.242388794,0.1755642568,different,,,missing,0.4463360357,0.481,different,missing,0.0,missing
gollum/gollum,,,missing,-0.0687997347,-0.064,different,0.3791974716,0.4110231051,different,,,missing,0.0205570292,0.003,different,0.7933129392,0.9703836891,different,,,missing,-0.0966511936,-0.122,different,missing,0.2165365537,missing
grails/grails-core,,,missing,-0.491214155,-0.49,close,0.0,2.26e-18,close,,,missing,-0.1024201749,-0.128,different,0.0678784325,0.0222764674,different,,,missing,-0.4551555827,-0.485,different,missing,0.0,missing
habitrpg/habitica,,,missing,-0.3499433879,-0.344,close,0.0,2.93e-13,close,,,missing,0.2356960992,0.244,close,5.801e-07,2.26e-07,different,,,missing,-0.3321378692,-0.34,close,missing,0.0,missing
hapijs/hapi,,,missing,-0.1089978678,-0.12,different,0.0055652383,0.0022008541,different,,,missing,0.3760554371,0.37,close,0.0,4.540000000000001e-21,close,,,missing,0.0249307036,0.005,different,missing,0.5261093164,missing
haraka/haraka,,,missing,0.4744563008,0.478,close,0.0,2.19e-33,close,,,missing,0.1196646341,0.123,close,0.0025531792,0.001945375,different,,,missing,0.4846341463,0.495,close,missing,0.0,missing
humhub/humhub,,,missing,0.2281973049,0.243,different,0.0018338384,0.0008865211,different,,,missing,-0.1937452326,-0.207,different,0.0079416163,0.0044975352,different,,,missing,0.269641495,0.276,close,missing,0.0002314662,missing
invoiceninja/invoiceninja,,,missing,0.4678957406,0.483,close,0.0,3.35e-16,close,,,missing,0.1079514891,0.119,different,0.0660852115,0.0430169822,different,,,missing,0.4739596068,0.516,different,missing,0.0,missing
ipython/ipython,,,missing,-0.9735174836,-0.998,close,0.0,1.59e-285,close,,,missing,-0.065598076,-0.073,different,0.0175923941,0.0085422043,different,,,missing,-0.9571375209,-0.999,close,missing,0.0,missing
isagalaev/highlight.js,,,missing,-0.2787221218,-0.301,different,0.0001301739,3.54e-05,different,,,missing,0.0700421941,0.064,different,0.3366056892,0.3762912657,different,,,missing,-0.3025919228,-0.341,different,missing,3.26902e-05,missing
jashkenas/backbone,,,missing,0.0298589065,0.015,different,0.5114048392,0.74317863,different,,,missing,0.0121869489,0.019,different,0.7887602877,0.6767394319,different,,,missing,0.031005291,0.037,different,missing,0.4953209706,missing
jashkenas/underscore,,,missing,0.3466383327,0.365,different,2.23e-08,3.75e-09,different,,,missing,-0.1300629833,-0.119,different,0.035863251,0.0547553197,different,,,missing,0.3344769317,0.358,different,missing,6.78e-08,missing
jhipster/generator-jhipster,,,missing,0.1549687596,0.209,different,0.0077429914,0.0003283291,different,,,missing,0.2063743882,0.203,close,0.0003903241,0.0004978066,different,,,missing,0.172976143,0.23,different,missing,0.0029534647,missing
jsbin/jsbin,,,missing,-0.630789422,-0.64,close,0.0,3.22e-34,close,,,missing,-0.143263664,-0.139,close,0.0063126271,0.0082363762,different,,,missing,-0.6180698656,-0.639,close,missing,0.0,missing
kivy/kivy,,,missing,0.5530514324,0.549,close,0.0,6.71e-29,close,,,missing,0.064238615,0.064,close,0.1914546024,0.1908346054,close,,,missing,0.5573725413,0.554,close,missing,0.0,missing
laravel/laravel,,,missing,0.0604283802,0.054,different,0.1524148043,0.2037506758,different,,,missing,0.0306760375,0.021,different,0.4675842391,0.6152726676,different,,,missing,0.0747121821,0.061,different,missing,0.0768345996,missing
leaflet/leaflet,,,missing,0.343150793,0.364,different,0.0,1.32e-20,close,,,missing,-0.0674623215,-0.069,close,0.0848027177,0.0774276291,different,,,missing,0.3357452853,0.357,different,missing,0.0,missing
loomio/loomio,,,missing,0.1844300777,0.183,close,5.1e-08,6.5e-08,different,,,missing,0.2353017009,0.231,close,0.0,9.47e-12,close,,,missing,0.1786211806,0.176,close,missing,1.32e-07,missing
