publish_date,start_date,number_of_commits,number_of_prs
2013-03-28T23:05:17+09:00,2013-03-28T14:33:33+09:00,3,1
2013-03-29T09:52:02+09:00,2013-03-28T23:05:17+09:00,5,1
2013-03-29T15:13:15+09:00,2013-03-29T09:52:02+09:00,3,1
2013-03-29T17:15:54+09:00,2013-03-29T15:13:15+09:00,5,1
2013-03-29T17:45:00+09:00,2013-03-29T17:15:54+09:00,3,1
2013-03-30T16:11:45+09:00,2013-03-29T17:45:00+09:00,14,0
2013-03-30T16:14:02+09:00,2013-03-30T16:11:45+09:00,2,0
2013-03-31T13:03:34+09:00,2013-03-30T16:14:02+09:00,13,1
2013-04-02T00:32:55+09:00,2013-03-31T13:03:34+09:00,3,1
2013-04-02T23:51:14+09:00,2013-04-02T00:32:55+09:00,2,0
2013-04-03T13:48:44+09:00,2013-04-02T23:51:14+09:00,4,1
2013-04-03T18:21:40+09:00,2013-04-03T13:48:44+09:00,4,0
2013-04-04T00:07:14+09:00,2013-04-03T18:21:40+09:00,5,1
2013-04-04T11:08:00+09:00,2013-04-04T00:07:14+09:00,3,1
2013-04-05T16:51:01+09:00,2013-04-04T11:08:00+09:00,4,0
2013-04-06T13:03:49+09:00,2013-04-05T16:51:01+09:00,16,1
2013-04-08T10:36:45+09:00,2013-04-06T13:03:49+09:00,9,0
2013-04-09T12:08:29+09:00,2013-04-08T10:36:45+09:00,10,2
2013-04-09T15:22:34+09:00,2013-04-09T12:08:29+09:00,15,2
2013-04-09T23:50:12+09:00,2013-04-09T15:22:34+09:00,7,1
2013-04-10T22:11:48+09:00,2013-04-09T23:50:12+09:00,9,2
2013-04-11T09:46:08+09:00,2013-04-10T22:11:48+09:00,3,1
2013-04-12T15:10:44+09:00,2013-04-11T09:46:08+09:00,5,1
2013-04-13T16:53:05+09:00,2013-04-12T15:10:44+09:00,12,2
2013-04-15T09:49:57+09:00,2013-04-13T16:53:05+09:00,6,1
2013-04-21T01:07:26+09:00,2013-04-15T09:49:57+09:00,4,1
2013-04-23T15:56:32+09:00,2013-04-21T01:07:26+09:00,5,1
2013-04-23T17:24:33+09:00,2013-04-23T15:56:32+09:00,10,0
2013-04-23T18:51:04+09:00,2013-04-23T17:24:33+09:00,2,0
2013-04-27T18:24:12+09:00,2013-04-23T18:51:04+09:00,14,1
2013-04-28T19:35:23+09:00,2013-04-27T18:24:12+09:00,16,3
2013-04-29T16:21:03+09:00,2013-04-28T19:35:23+09:00,4,1
2013-05-01T12:33:15+09:00,2013-04-29T16:21:03+09:00,8,3
2013-05-01T13:44:15+09:00,2013-05-01T12:33:15+09:00,3,1
2013-05-02T15:33:45+09:00,2013-05-01T13:44:15+09:00,19,4
2013-05-04T02:35:08+09:00,2013-05-02T15:33:45+09:00,10,2
2013-05-04T18:06:56+09:00,2013-05-04T02:35:08+09:00,2,0
2013-05-05T16:49:02+09:00,2013-05-04T18:06:56+09:00,7,0
2013-05-07T10:35:25+09:00,2013-05-05T16:49:02+09:00,13,3
2013-05-07T21:13:30+09:00,2013-05-07T10:35:25+09:00,3,0
2013-05-09T13:00:49+09:00,2013-05-07T21:13:30+09:00,8,2
2013-05-10T18:38:34+09:00,2013-05-09T13:00:49+09:00,6,0
2013-05-13T14:09:05+09:00,2013-05-10T18:38:34+09:00,5,0
2013-05-13T18:40:58+09:00,2013-05-13T14:09:05+09:00,3,1
2013-05-13T21:53:02+09:00,2013-05-13T18:40:58+09:00,6,2
2013-05-14T09:35:28+09:00,2013-05-13T21:53:02+09:00,3,1
2013-05-14T21:40:36+09:00,2013-05-14T09:35:28+09:00,4,1
2013-05-17T13:57:12+09:00,2013-05-14T21:40:36+09:00,11,2
