project,Cliff delta (magnitude): delivery delay,Cliff delta (estimate): delivery delay,MWW test (p-value): delivery delay,Cliff delta (magnitude): merge time,Cliff delta (estimate): merge time,MWW test (p-value): merge time,Cliff delta (magnitude): PR lifetime,Cliff delta (estimate): PR lifetime,MWW test (p-value): PR lifetime
Netflix/Hystrix,small,-0.3039042357,1.341e-06,medium,0.3683241252,4.7e-09,small,-0.2398342541,0.0001366636
mizzy/serverspec,negligible,-0.1327718603,0.2065737623,small,0.2771860292,0.0083476932,negligible,0.1401205516,0.1825377089
yiisoft/yii,medium,-0.470570837,0.0,large,0.5467908903,0.0,medium,-0.4492162082,0.0
jashkenas/backbone,small,0.1822577423,0.0684740217,medium,0.4373626374,1.22832e-05,small,0.2988611389,0.002810721
Pylons/pyramid,negligible,-0.1191574979,0.0000272198,medium,0.4094525104,0.0000000000,negligible,-0.1149918690,0.0000514620
