project,Cliff delta (magnitude): delivery delay,Cliff delta (estimate): delivery delay,MWW test (p-value): delivery delay,Cliff delta (magnitude): merge time,Cliff delta (estimate): merge time,MWW test (p-value): merge time,Cliff delta (magnitude): PR lifetime,Cliff delta (estimate): PR lifetime,MWW test (p-value): PR lifetime
kivy/kivy,large,0.5530514324,0.0,negligible,0.064238615,0.1914546024,large,0.5573725413,0.0
laravel/laravel,negligible,0.0604283802,0.1524148043,negligible,0.0306760375,0.4675842391,negligible,0.0747121821,0.0768345996
loomio/loomio,small,0.1844300777,5.1e-08,small,0.2353017009,0.0,small,0.1786211806,1.32e-07
mantl/mantl,negligible,0.0758296929,0.189598844,negligible,0.1034969899,0.0733479348,negligible,0.0704396775,0.2230352979
mapbox/mapbox-gl-js,small,0.2699910153,0.0007060007,medium,0.3445642408,1.53694e-05,medium,0.3533692722,9.2663e-06
matplotlib/matplotlib,negligible,0.0284218755,0.3694787399,negligible,-0.1172903091,0.0002124859,negligible,0.0139558556,0.659465647
mizzy/serverspec,negligible,0.025703125,0.7048584792,medium,0.3580859375,1.484e-07,medium,0.3598046875,1.314e-07
mozilla-b2g/gaia,negligible,-0.070927617,0.0,medium,0.4063526612,0.0,negligible,-0.0485019009,6.611e-07
mozilla/pdf.js,medium,-0.4597874253,0.0,small,0.2429252531,0.0,medium,-0.4154394358,0.0
openhab/openhab,small,0.167566582,1.008e-07,negligible,-0.1265018194,5.79606e-05,small,0.1812221595,8.4e-09
owncloud/core,small,-0.1650082822,0.0,negligible,-0.0065002654,0.6287376418,small,-0.1594374625,0.0
photonstorm/phaser,small,0.2454839809,2.4169e-06,medium,0.3339541338,1e-10,medium,0.3382997371,1e-10
processing/p5.js,negligible,-0.0264071856,0.6889129583,negligible,0.1464071856,0.0263000446,negligible,0.0099401198,0.8804427653
puppetlabs/puppet,small,-0.1570023796,3.99461e-05,small,0.177149733,3.5701e-06,small,-0.159707716,2.93343e-05
pyrocms/pyrocms,small,0.2479917411,1.94e-08,negligible,0.1026954221,0.0200173604,small,0.254105236,8.6e-09
rails/rails,small,0.2050756325,0.0,negligible,0.0654243047,0.0114058675,small,0.2128985549,0.0
refinery/refinerycms,negligible,0.0757377992,0.0469377581,large,0.47466061,0.0,negligible,0.1060225522,0.0054127776
request/request,large,-0.7296169,0.0,negligible,0.0624863777,0.2585349748,large,-0.7446894124,0.0
robolectric/robolectric,small,-0.1719221022,0.0001694287,small,-0.2702747766,3.4e-09,small,-0.1927704415,2.47816e-05
roots/sage,small,-0.3067148572,1.051e-07,negligible,-0.0342789598,0.5524705256,small,-0.3023958902,1.582e-07
saltstack/salt,small,-0.2183089043,0.0,medium,0.3965611414,0.0,small,-0.2069574889,0.0
scikit-image/scikit-image,large,0.5460740693,0.0,negligible,0.1281568778,0.0033804044,large,0.5182781295,0.0
scikit-learn/scikit-learn,large,0.5488900024,0.0,negligible,0.0987551643,0.0053382318,large,0.5557202769,0.0
scipy/scipy,small,-0.1963972298,1.108e-07,negligible,-0.0724682477,0.0501614828,small,-0.1799807195,1.1481e-06
sensu/sensu,medium,0.3980815569,0.0,medium,0.3427809116,0.0,medium,0.4412880711,0.0
serverless/serverless,small,0.2806302926,1e-10,small,0.1632186372,0.0001482381,small,0.2827169757,0.0
siacs/Conversations,negligible,-0.0103594346,0.8783472807,negligible,0.1175187686,0.0813577353,negligible,0.0559493352,0.4068730322
spinnaker/spinnaker,small,-0.2446040994,5.92909e-05,small,0.3225465632,1.171e-07,small,-0.1777402119,0.0035406719
square/picasso,small,0.1718577075,0.0260153789,negligible,-0.0430039526,0.5779794744,negligible,0.1432411067,0.0635744651
sympy/sympy,small,-0.3118446992,0.0,negligible,0.0807094041,0.0006850402,small,-0.3041828039,0.0
twbs/bootstrap,medium,0.3875922445,0.0,negligible,0.0263549499,0.620335323,medium,0.427744709,0.0
vanilla/vanilla,medium,-0.4410696212,0.0,medium,-0.3613631434,4e-10,large,-0.6211140833,0.0
woocommerce/woocommerce,negligible,-0.0472675606,0.0420812813,negligible,-0.1293819089,2.64e-08,negligible,-0.0563107723,0.0154515386
yiisoft/yii,negligible,-0.0194938728,0.7114076115,negligible,0.0458808964,0.3836933801,negligible,-0.0147725365,0.779236833
zurb/foundation-sites,small,0.2837202038,0.0,small,0.1844125677,4.1e-09,small,0.291803467,0.0
